Log_name,Pos,Event_type,Server_id,End_log_pos,Info
mysql-bin-changelog.009057,2226025,Xid,1918849360,2226056,COMMIT /* xid=82869191 */
mysql-bin-changelog.009057,2226056,Gtid,1918849360,2226121,SET @@SESSION.GTID_NEXT= '4c2c-11eb-9e3c-061abc09fa58:17425721'
mysql-bin-changelog.009057,2226121,Query,1918849360,2226212,BEGIN
mysql-bin-changelog.009057,2226212,Query,1918849360,2226359,use `database`; UPDATE table2 SET status='1' WHERE id='56569'
mysql-bin-changelog.009057,2226359,Xid,1918849360,2226390,COMMIT /* xid=82869193 */
mysql-bin-changelog.009057,2226390,Gtid,1918849360,2226455,SET @@SESSION.GTID_NEXT= '4c2c-11eb-9e3c-061abc09fa58:17425722'
mysql-bin-changelog.009057,2226455,Query,1918849360,2226546,BEGIN
mysql-bin-changelog.009057,2226546,Query,1918849360,2226693,use `database`; UPDATE table2 SET status='1' WHERE id='56564'
mysql-bin-changelog.009057,2226693,Xid,1918849360,2226724,COMMIT /* xid=82869195 */
mysql-bin-changelog.009057,2226724,Gtid,1918849360,2226789,SET @@SESSION.GTID_NEXT= '4c2c-11eb-9e3c-061abc09fa58:17425723'
mysql-bin-changelog.009057,2226789,Query,1918849360,2226880,BEGIN
mysql-bin-changelog.009057,2226880,Query,1918849360,2227027,use `database`; UPDATE table2 SET status='1' WHERE id='56563'
mysql-bin-changelog.009057,2227027,Xid,1918849360,2227058,COMMIT /* xid=82869197 */
mysql-bin-changelog.009057,2227058,Gtid,1918849360,2227123,SET @@SESSION.GTID_NEXT= '4c2c-11eb-9e3c-061abc09fa58:17425724'
mysql-bin-changelog.009057,2227123,Query,1918849360,2227214,BEGIN
mysql-bin-changelog.009057,2227214,Query,1918849360,2227361,use `database`; UPDATE table2 SET status='1' WHERE id='56557'
mysql-bin-changelog.009057,2227361,Xid,1918849360,2227392,COMMIT /* xid=82869199 */
